i	j	x	r	mach	theta	press	temp
69	32	1.08652	0.386564	1.73434	6.2399	96.1707	330.922
70	32	1.09353	0.382686	1.73833	6.19778	95.5906	330.35
71	32	1.09625	0.381187	1.7407	6.15732	95.2474	330.011
72	32	1.09794	0.380254	1.74265	6.1181	94.9654	329.731
73	32	1.10153	0.378269	1.74525	6.08026	94.5925	329.361
74	32	1.10683	0.375351	1.74794	6.05732	94.2062	328.976
75	32	1.11426	0.371267	1.75154	6.03059	93.6923	328.462
76	32	1.12388	0.365988	1.7561	5.99956	93.0447	327.812
77	32	1.1357	0.359524	1.76156	5.96695	92.2762	327.036
78	32	1.14974	0.351882	1.76792	5.93307	91.3866	326.132
79	32	1.16607	0.343031	1.77533	5.89605	90.361	325.082
80	32	1.18488	0.332896	1.78405	5.85115	89.166	323.848
81	32	1.2064	0.321377	1.79456	5.78905	87.7462	322.366
82	32	1.23106	0.308276	1.80773	5.69082	85.9976	320.518
83	32	1.25974	0.293155	1.82554	5.50942	83.6822	318.028
84	32	1.29869	0.27278	1.85598	5.08289	79.859	313.807
85	32	1.34242	0.250086	1.88944	4.61792	75.8467	309.219
86	32	1.38542	0.227946	1.91901	4.25308	72.4585	305.208
87	32	1.43264	0.203808	1.95344	3.79815	68.6952	300.592
88	32	1.45676	0.191542	1.97004	3.59358	66.9482	298.388
89	32	1.48221	0.178644	1.98877	3.34439	65.0282	295.918
90	32	1.50616	0.166541	2.00533	3.13966	63.3742	293.747
91	32	1.53524	0.151895	2.0266	2.86023	61.3106	290.982
92	32	1.55914	0.139884	2.04344	2.64873	59.7226	288.808
93	32	1.59226	0.123284	2.06764	2.33311	57.51	285.71
94	32	1.61611	0.111354	2.0847	2.11674	55.9988	283.544
95	32	1.65374	0.0925769	2.11227	1.75903	53.6381	280.077
96	32	1.67757	0.0807037	2.12952	1.53915	52.2112	277.927
97	32	1.7202	0.0594924	2.16094	1.13302	49.7081	274.053
98	32	1.74405	0.0476437	2.17838	0.910211	48.3698	271.925
99	32	1.76781	0.0358436	2.19599	0.683035	47.055	269.792
100	32	1.79226	0.0237025	2.21395	0.455117	45.7513	267.635
101	32	1.81619	0.0118262	2.2319	0.220275	44.4833	265.494
102	32	1.84002	0	2.24919	0	43.2959	263.45

0	33	0.14778	1.01098	1.38838	8.49832	159.708	382.528
1	33	0.156588	1.00421	1.3885	8.56231	159.681	382.51
2	33	0.165939	0.997044	1.38907	8.61848	159.553	382.422
3	33	0.175849	0.989472	1.39011	8.66649	159.321	382.263
4	33	0.18633	0.981493	1.39162	8.70611	158.982	382.03
5	33	0.197389	0.973106	1.39363	8.73723	158.536	381.724
6	33	0.209033	0.964315	1.39611	8.75988	157.983	381.343
7	33	0.221263	0.955127	1.39907	8.77424	157.326	380.889
8	33	0.234077	0.945549	1.4025	8.78061	156.569	380.365
9	33	0.247469	0.935596	1.40637	8.77942	155.717	379.772
10	33	0.261433	0.925279	1.41066	8.7712	154.776	379.115
11	33	0.275956	0.914617	1.41535	8.75652	153.753	378.397
12	33	0.291027	0.903624	1.42041	8.73602	152.655	377.624
13	33	0.306631	0.892321	1.42581	8.71032	151.491	376.798
14	33	0.322753	0.880724	1.43153	8.68004	150.266	375.925
15	33	0.339377	0.868852	1.43753	8.64575	148.987	375.009
16	33	0.356486	0.856724	1.44381	8.60796	147.661	374.052
17	33	0.374065	0.844358	1.45032	8.56713	146.293	373.059
18	33	0.392097	0.83177	1.45707	8.52362	144.888	372.032
19	33	0.410566	0.818976	1.46403	8.4777	143.45	370.972
20	33	0.429457	0.805993	1.4712	8.42954	141.981	369.883
21	33	0.448756	0.792836	1.47857	8.37924	140.484	368.764
22	33	0.468448	0.779518	1.48613	8.32676	138.96	367.617
23	33	0.488521	0.766052	1.49389	8.27202	137.41	366.441
24	33	0.508961	0.752451	1.50186	8.21482	135.835	365.236
25	33	0.529757	0.738726	1.51004	8.15488	134.233	364
26	33	0.550898	0.724888	1.51843	8.09185	132.605	362.734
27	33	0.572374	0.710946	1.52706	8.02529	130.95	361.434
28	33	0.594173	0.696911	1.53593	7.95472	129.265	360.099
29	33	0.616288	0.682789	1.54507	7.87956	127.549	358.726
30	33	0.631548	0.673113	1.55105	7.83779	126.437	357.83
31	33	0.654002	0.658972	1.56058	7.75486	124.68	356.403
32	33	0.669553	0.649245	1.56687	7.70689	123.532	355.462
33	33	0.685175	0.639529	1.5733	7.65617	122.37	354.503
34	33	0.700317	0.630162	1.57848	7.63836	121.437	353.729
35	33	0.714975	0.621143	1.58299	7.63743	120.632	353.057
